#id lon lat MIH hmax period
id02943 66.000000 25.233300 0.42 0.12 1357
id03068 69.844400 20.933300 -1.00 -1.00 -1
id03069 69.644400 21.166700 0.85 0.19 1868
id03070 69.433300 21.366700 1.09 0.22 1197
id03071 69.211100 21.600000 1.31 0.27 1308
id03072 69.008300 21.833300 1.39 0.32 2367
id03073 68.800000 22.044400 1.31 0.29 2055
id03074 68.600000 22.266700 2.38 0.43 2243
id03075 68.333300 22.433300 1.74 0.40 2261
id03076 68.155600 22.700000 1.43 0.26 2148
id03077 67.866700 22.858300 1.10 0.23 1650
id03078 67.533300 22.868900 1.26 0.26 1463
id03079 67.389700 23.166700 1.55 0.35 2145
id03080 67.427100 23.500000 1.33 0.23 1857
id03081 67.333300 23.654900 1.21 0.30 2950
id03082 67.166700 23.393900 1.98 0.36 2530
id03083 67.014300 23.666700 1.55 0.31 4394
id03084 66.913300 24.000000 1.55 0.31 3874
id03085 66.766700 24.277800 1.96 0.35 2194
id03086 66.600000 24.533300 1.05 0.23 1698
id03087 66.450000 24.833300 1.25 0.25 1098
id03223 93.100000 13.874100 1.03 0.29 1023
id03224 93.288900 13.833300 -1.00 -1.00 -1
id03225 93.209600 13.666700 1.76 0.52 1184
id03226 93.166700 13.498600 1.12 0.33 1193
id03227 93.102400 13.300000 -1.00 -1.00 -1
id03228 93.063800 13.133300 -1.00 -1.00 -1
id03229 93.010400 12.933300 -1.00 -1.00 -1
id03230 93.007000 12.766700 0.50 0.15 1219
id03231 92.998200 12.566700 1.15 0.33 1053
id03232 93.066700 12.407700 -1.00 -1.00 -1
id03233 93.144400 12.266700 0.88 0.24 940
id03234 93.169300 12.066700 0.68 0.22 1593
id03235 93.119500 11.900000 1.22 0.36 1191
id03236 93.100000 11.764800 -1.00 -1.00 -1
id03237 92.966700 11.853100 1.32 0.39 1162
id03238 92.814600 11.833300 1.09 0.35 1548
id03239 92.771800 11.633300 0.83 0.28 1735
id03240 92.729300 11.466700 0.97 0.29 1218
id03241 92.707200 11.233300 0.64 0.19 1297
id03242 92.704300 11.066700 0.49 0.15 1323
id03243 92.687000 10.933300 -1.00 -1.00 -1
id03244 92.671100 10.766700 -1.00 -1.00 -1
id03245 92.650000 10.566700 0.98 0.32 1578
id03246 92.504800 10.466700 0.44 0.13 1330
id03247 92.333300 10.494300 1.60 0.46 1098
id03248 92.330000 10.633300 1.45 0.42 1162
id03249 92.280000 10.833300 -1.00 -1.00 -1
id03250 92.438700 10.900000 0.92 0.28 1384
id03251 92.544400 11.033300 0.68 0.21 1395
id03252 92.533300 11.200000 0.78 0.23 1151
id03253 92.424300 11.300000 0.82 0.24 1181
id03254 92.361400 11.466700 0.93 0.25 885
id03255 92.175600 11.533300 1.26 0.35 989
id03256 92.300000 11.589700 1.01 0.29 1067
id03257 92.437300 11.666700 0.75 0.24 1474
id03258 92.419400 11.866700 0.63 0.18 1155
id03259 92.533300 11.981000 -1.00 -1.00 -1
