#id lon lat MIH hmax period
id02943 66.000000 25.233300 0.17 0.04 427
id03068 69.844400 20.933300 0.22 0.04 517
id03069 69.644400 21.166700 0.13 0.03 1176
id03070 69.433300 21.366700 0.13 0.03 986
id03071 69.211100 21.600000 0.15 0.03 45
id03072 69.008300 21.833300 0.15 0.03 1971
id03073 68.800000 22.044400 0.43 0.08 1113
id03074 68.600000 22.266700 0.17 0.03 247
id03075 68.333300 22.433300 0.18 0.03 964
id03076 68.155600 22.700000 0.22 0.04 918
id03077 67.866700 22.858300 0.18 0.04 1365
id03078 67.533300 22.868900 0.19 0.04 1814
id03079 67.389700 23.166700 0.21 0.04 1244
id03080 67.427100 23.500000 0.12 0.02 868
id03081 67.333300 23.654900 0.22 0.04 1019
id03082 67.166700 23.393900 0.20 0.04 1305
id03083 67.014300 23.666700 0.45 0.09 1192
id03084 66.913300 24.000000 0.30 0.06 998
id03085 66.766700 24.277800 0.30 0.05 596
id03086 66.600000 24.533300 0.29 0.06 1222
id03087 66.450000 24.833300 0.21 0.05 1890
id03223 93.100000 13.874100 0.80 0.32 3386
id03224 93.288900 13.833300 0.50 0.27 3552
id03225 93.209600 13.666700 0.47 0.21 2850
id03226 93.166700 13.498600 0.37 0.19 3457
id03227 93.102400 13.300000 0.89 0.25 968
id03228 93.063800 13.133300 0.92 0.30 1556
id03229 93.010400 12.933300 0.59 0.25 2728
id03230 93.007000 12.766700 0.87 0.37 2695
id03231 92.998200 12.566700 1.19 0.44 3101
id03232 93.066700 12.407700 1.81 0.51 1672
id03233 93.144400 12.266700 1.01 0.33 1544
id03234 93.169300 12.066700 0.85 0.35 4042
id03235 93.119500 11.900000 0.91 0.33 3017
id03236 93.100000 11.764800 0.76 0.35 3029
id03237 92.966700 11.853100 2.82 0.80 1053
id03238 92.814600 11.833300 1.31 0.52 3397
id03239 92.771800 11.633300 1.56 0.37 862
id03240 92.729300 11.466700 1.73 0.45 1286
id03241 92.707200 11.233300 1.01 0.42 4353
id03242 92.704300 11.066700 0.81 0.34 4574
id03243 92.687000 10.933300 0.59 0.26 2932
id03244 92.671100 10.766700 0.72 0.32 2939
id03245 92.650000 10.566700 1.27 0.39 1365
id03246 92.504800 10.466700 1.83 0.54 1874
id03247 92.333300 10.494300 1.65 0.46 1565
id03248 92.330000 10.633300 3.85 1.01 1294
id03249 92.280000 10.833300 0.46 0.17 2984
id03250 92.438700 10.900000 1.16 0.35 2023
id03251 92.544400 11.033300 1.33 0.55 4184
id03252 92.533300 11.200000 1.39 0.58 4103
id03253 92.424300 11.300000 1.33 0.34 1200
id03254 92.361400 11.466700 1.00 0.29 1699
id03255 92.175600 11.533300 0.48 0.14 1211
id03256 92.300000 11.589700 1.19 0.25 480
id03257 92.437300 11.666700 1.67 0.40 638
id03258 92.419400 11.866700 0.88 0.24 1522
id03259 92.533300 11.981000 0.70 0.22 1402
id03260 92.531100 12.166700 0.97 0.24 1038
id03261 92.381300 12.166700 0.52 0.15 1214
id03262 92.357300 12.266700 0.42 0.12 1150
id03263 92.500000 12.350000 0.90 0.22 673
id03264 92.586700 12.500000 0.73 0.27 3047
id03265 92.630600 12.633300 0.51 0.21 5330
id03266 92.597000 12.766700 0.99 0.22 681
id03267 92.533300 12.913000 1.29 0.32 1004
id03268 92.551300 13.066700 0.73 0.30 3908
id03269 92.486700 13.233300 0.44 0.13 1969
id03270 92.533300 13.368600 0.47 0.14 1222
id03271 92.666700 13.400000 0.58 0.16 1462
id03272 92.702400 13.566700 0.56 0.15 1476
id03273 92.700000 13.678300 0.42 0.11 881
id03274 92.839600 13.700000 0.49 0.13 936
id03275 112.000000 -8.327800 0.27 0.13 3163
id03276 111.831700 -8.300000 0.55 0.15 842
id03277 111.700000 -8.409000 0.28 0.10 1965
id03278 111.542900 -8.366700 0.47 0.16 1811
id03279 111.400000 -8.329500 0.58 0.19 1499
id03280 111.200000 -8.296600 0.42 0.15 1836
id03281 111.033300 -8.278500 0.44 0.11 611
id03282 110.833300 -8.240300 0.52 0.23 2866
id03283 110.644700 -8.200000 0.52 0.17 1578
id03284 110.466700 -8.138000 0.53 0.16 1196
id03285 110.300000 -8.072200 0.46 0.17 2095
id03286 110.133300 -8.011100 0.40 0.14 1840
id03287 109.966700 -7.963100 0.41 0.12 1001
id03288 109.800000 -8.001400 0.33 0.11 1572
id03289 109.666700 -7.927800 0.30 0.10 1560
id03290 109.491700 -7.866700 0.47 0.12 841
id03291 109.300000 -7.830600 0.55 0.23 3591
id03292 109.100000 -7.857100 0.80 0.20 1034
id03293 108.900000 -7.831800 0.69 0.21 2115
id03294 108.666700 -7.815800 0.48 0.20 5046
id03295 108.466700 -7.861000 0.60 0.19 2118
id03296 108.266700 -7.888900 0.41 0.17 2580
id03297 108.066700 -7.848800 0.45 0.16 1932
id03298 107.900000 -7.783800 0.50 0.15 1298
id03299 107.733300 -7.700000 0.95 0.28 1132
id03300 107.566700 -7.643500 0.95 0.28 1183
id03301 107.400000 -7.584700 0.92 0.27 1143
id03302 107.200000 -7.538100 0.70 0.20 1005
id03303 107.033300 -7.497300 0.65 0.20 1345
id03304 106.833300 -7.524200 0.48 0.17 1781
id03305 106.700000 -7.494300 0.67 0.19 1132
id03306 106.566700 -7.503000 0.70 0.17 660
id03307 106.433300 -7.406400 0.87 0.26 1259
id03308 106.326900 -7.300000 0.89 0.26 1151
id03309 106.428900 -7.166700 0.60 0.22 2026
id03310 106.515100 -7.033300 1.27 0.51 2508
id03311 106.366700 -7.005200 0.48 0.20 2682
id03312 106.166700 -6.967400 0.78 0.18 541
id03313 106.000000 -6.901400 0.89 0.21 592
id03314 105.854300 -6.933300 0.41 0.15 1931
id03315 105.675400 -7.000000 0.54 0.15 998
id03316 105.501400 -7.066700 0.84 0.22 795
id03317 105.466700 -7.014800 0.86 0.20 555
id03318 105.411100 -6.966700 0.80 0.21 786
id03319 105.354500 -6.900000 1.08 0.27 715
id03320 105.230800 -6.800000 0.84 0.20 637
id03321 105.166700 -6.676000 0.44 0.14 1604
id03322 105.121400 -6.566700 0.68 0.17 711
id03323 105.300000 -6.532600 0.63 0.19 1270
id03324 105.466700 -6.572700 0.53 0.16 1324
id03325 105.566700 -6.433300 0.48 0.14 1271
id03326 105.600000 -6.233300 0.49 0.14 1156
id03327 105.466700 -6.199200 0.56 0.17 1192
id03328 105.329400 -6.100000 0.46 0.17 2201
id03329 105.391400 -5.933300 0.51 0.21 2565
id03330 105.233300 -5.841900 0.52 0.19 1938
id03331 105.066700 -5.791500 0.59 0.21 1863
id03332 104.900000 -5.703600 0.74 0.25 1656
id03333 104.766700 -5.621200 0.97 0.24 748
id03334 104.600000 -5.552900 1.15 0.45 2363
id03335 104.660285 -5.697486 0.64 0.27 2677
id03336 104.717600 -5.866700 0.40 0.21 3506
id03337 104.728700 -6.033300 0.96 0.23 651
id03338 104.718100 -6.266700 0.85 0.26 1380
id03339 104.600000 -6.177800 0.95 0.29 1319
id03340 104.516000 -6.033300 1.13 0.28 655
id03341 104.433300 -5.888500 0.59 0.18 1429
id03342 104.335000 -5.733300 1.03 0.25 626
id03343 104.256000 -5.600000 0.83 0.26 1416
id03344 104.131800 -5.500000 0.62 0.20 1564
id03345 104.023800 -5.366700 1.10 0.30 905
id03346 103.900000 -5.240300 0.82 0.19 524
