url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,13,9
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/calculate_AF,5,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v3.0.0/calculate_MIH/example_HySEA,4,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/README.md,3,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/calculate_MIH,2,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/calculate_AF/master.py,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/calculate_AF/sct/Wave1D.py,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/v3.0.0/calculate_MIH/example_HySEA/computed_MIH.txt,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/calculate_AF/sct,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/calculate_MIH/README.txt,1,1
